volume,mask
/app/data/retouch/topcon/001.npy,/app/data/retouch/annotations/topcon/001.npy
/app/data/retouch/topcon/002.npy,/app/data/retouch/annotations/topcon/002.npy
/app/data/retouch/topcon/003.npy,/app/data/retouch/annotations/topcon/003.npy
/app/data/retouch/topcon/004.npy,/app/data/retouch/annotations/topcon/004.npy
/app/data/retouch/topcon/005.npy,/app/data/retouch/annotations/topcon/005.npy
/app/data/retouch/topcon/006.npy,/app/data/retouch/annotations/topcon/006.npy
/app/data/retouch/topcon/007.npy,/app/data/retouch/annotations/topcon/007.npy
/app/data/retouch/topcon/008.npy,/app/data/retouch/annotations/topcon/008.npy
/app/data/retouch/topcon/009.npy,/app/data/retouch/annotations/topcon/009.npy
/app/data/retouch/topcon/010.npy,/app/data/retouch/annotations/topcon/010.npy
/app/data/retouch/topcon/011.npy,/app/data/retouch/annotations/topcon/011.npy
/app/data/retouch/topcon/012.npy,/app/data/retouch/annotations/topcon/012.npy
/app/data/retouch/topcon/013.npy,/app/data/retouch/annotations/topcon/013.npy
/app/data/retouch/topcon/014.npy,/app/data/retouch/annotations/topcon/014.npy
/app/data/retouch/topcon/015.npy,/app/data/retouch/annotations/topcon/015.npy
/app/data/retouch/topcon/016.npy,/app/data/retouch/annotations/topcon/016.npy
/app/data/retouch/topcon/017.npy,/app/data/retouch/annotations/topcon/017.npy
/app/data/retouch/topcon/018.npy,/app/data/retouch/annotations/topcon/018.npy
/app/data/retouch/topcon/019.npy,/app/data/retouch/annotations/topcon/019.npy
/app/data/retouch/topcon/020.npy,/app/data/retouch/annotations/topcon/020.npy
/app/data/retouch/topcon/021.npy,/app/data/retouch/annotations/topcon/021.npy
/app/data/retouch/topcon/022.npy,/app/data/retouch/annotations/topcon/022.npy
